id,age,division,department,class,stock,reviews,feedback,rating,recommend 
0,40,General,Bottoms,Jeans,1028,Amazing fit and wash,0,5,1
1,62,General Petite,Tops,Blouses,850,Lovely and unique!,12,5,1
2,47,General Petite,Bottoms,Skirts,993,Meh,3,1,0
3,45,General Petite,Bottoms,Pants,1068,Wow,0,5,1
4,37,Initmates,Intimate,Swim,24,Great for bigger busts,0,5,1
5,43,General,Tops,Sweaters,933,Love the pattern and color,0,4,1
6,83,General,Tops,Sweaters,937,Beautiful and unique.,4,5,1
7,34,General,Tops,Knits,868,Unique and wonderful,2,5,1
8,49,General Petite,Tops,Fine gauge,900,Great look all in one,4,5,1
9,49,General,Tops,Knits,873,Beauty meets comfort,0,5,1
10,32,General,Tops,Knits,872,Great fit,0,5,1
11,41,General Petite,Tops,Knits,873,Adore! but the white *is* sheer,0,4,1
12,53,General,Bottoms,Skirts,1008,"Not red, not orange...",0,5,1
13,23,General,Bottoms,Skirts,1020,"Cute, but not flattering on",0,2,0
14,71,General Petite,Jackets,Jackets,984,good,0,5,1
15,31,General,Dresses,Dresses,1086,Not for my curves,5,3,0
16,64,General,Tops,Sweaters,939,Itchy!,22,3,0
17,50,General Petite,Dresses,Dresses,1078,Great with leggings,13,4,1
18,50,General Petite,Bottoms,Pants,1060,Perfect white pants,0,5,1
19,35,General Petite,Tops,Blouses,835,,2,3,1
20,40,Initmates,Intimate,Swim,286,Wowser,1,5,1
21,38,General,Bottoms,Pants,1053,"Pretty, but a bit small",12,4,1
22,34,General,Bottoms,Shorts,177,Great summer staple,2,5,1
23,37,General,Tops,Blouses,837,,0,5,1
24,36,General,Jackets,Jackets,967,Great jacket,5,5,1
25,72,General,Dresses,Dresses,1094,Perfect for irish fest and beyond!,0,5,1
26,49,General Petite,Dresses,Dresses,1078,Tent-like but cozy,4,3,0
27,42,General,Tops,Blouses,829,Even more vibrant in person!,0,5,1
28,32,General,Tops,Blouses,833,Great top - beautiful details,1,5,1
29,44,General,Tops,Knits,879,Disappointed,3,3,0
30,42,General,Bottoms,Pants,1056,"I ""heart"" this!",4,5,1
31,35,General,Bottoms,Pants,1063,Fabric is amazing,7,5,1
32,56,General Petite,Tops,Knits,884,Top part is gorgeous; bottom part is not,4,2,0
33,60,General,Bottoms,Pants,1058,"Stylish, but has a few issues",3,4,1
34,75,Initmates,Intimate,Lounge,623,good,1,5,1
35,59,General,Tops,Blouses,836,Love this blouse,0,5,1
36,35,General,Dresses,Dresses,1083,Spring for this dress now!,0,5,1
37,62,General,Tops,Knits,886,Perfect and at the right price!,2,5,1
38,30,General Petite,Tops,Blouses,838,Weird arms!,0,3,0
39,38,General Petite,Tops,Sweaters,939,Sleek moto sweater - upgraded cardigan,0,4,1
40,34,General Petite,Jackets,Outerwear,1116,Loved but had to return - twice!,0,3,1
41,41,General,Tops,Sweaters,930,Wanted to love this,0,3,1
42,46,General,Dresses,Dresses,1094,Darla tulle dress,2,4,1
43,23,Initmates,Intimate,Swim,401,Amazing,1,5,1
44,79,General Petite,Bottoms,Skirts,1004,Great fall/winter skirt,0,5,1
45,60,Initmates,Intimate,Lounge,628,Cute cover-up or summer top & shorts!,2,5,1
46,32,General,Tops,Blouses,850,Awful fit,0,2,0
47,66,General Petite,Tops,Blouses,820,Too bad,4,2,0
48,21,General Petite,Tops,Blouses,830,,4,5,1
49,53,General,Tops,Fine gauge,895,Great top!,0,5,1
50,52,General Petite,Bottoms,Skirts,1020,Perfect skirt,1,5,1
51,36,General Petite,Tops,Knits,862,Only for certain body types,1,3,0
52,42,General Petite,Bottoms,Skirts,993,Amazing!,2,5,1
53,42,General Petite,Tops,Blouses,831,Very pretty,0,4,1
54,32,General,Tops,Blouses,836,Adorable,4,4,1
55,39,General,Bottoms,Jeans,1039,I like them but...,5,3,1
56,66,Initmates,Intimate,Lounge,811,Runs small,0,5,1
57,33,General,Bottoms,Skirts,995,,0,2,0
58,34,General,Bottoms,Jeans,1038,Just beautiful,5,5,1
59,36,General Petite,Tops,Knits,880,Boxy but cute!,0,4,1
60,33,General Petite,Dresses,Dresses,1095,It fits!,6,4,0
61,62,General Petite,Tops,Blouses,845,,3,4,1
62,33,General,Dresses,Dresses,1094,Dressy yet comfy,0,5,1
63,29,General,Tops,Blouses,833,"Must have, elegant, chic",3,5,1
64,34,General,Tops,Blouses,820,Worth every penny!,9,5,1
65,42,General,Bottoms,Jeans,1028,Perfect high rise,4,5,1
66,43,General Petite,Tops,Knits,862,A little short....,0,4,1
67,54,General Petite,Bottoms,Pants,1059,Wanted to love these but didn't,1,3,0
68,31,General,Bottoms,Shorts,417,"Great length, true to size despite initial snug",1,4,1
69,43,General,Dresses,Dresses,1078,,0,5,1
70,40,General,Tops,Blouses,829,Great prints,0,4,1
71,56,Initmates,Intimate,Lounge,278,Leggings,0,3,1
72,26,General,Bottoms,Pants,1061,Love it so much!,0,4,1
73,60,General,Tops,Blouses,840,,0,4,1
74,60,General,Dresses,Dresses,1197,Most comfortable fabric i've ever worn,0,5,1
75,42,General Petite,Tops,Sweaters,941,,21,5,1
76,60,General,Tops,Blouses,831,Cute and different!,0,4,1
77,35,General,Bottoms,Skirts,1020,,0,5,1
78,83,General Petite,Tops,Knits,872,Beautiful and unique.,9,5,1
79,40,General Petite,Tops,Knits,867,,3,4,1
80,41,General,Bottoms,Pants,1060,Wow,7,5,1
81,41,General Petite,Tops,Knits,869,Beautiful summer top!,0,5,1
82,32,General,Tops,Knits,875,Lovely,0,5,1
83,52,General,Bottoms,Jeans,1033,Prob good if you're curvy,4,3,1
84,63,General Petite,Tops,Knits,862,,0,5,1
85,32,Initmates,Intimate,Lounge,811,Great basic!,0,5,1
86,40,General Petite,Intimate,Lounge,510,,2,5,1
87,38,General,Bottoms,Jeans,1037,,0,3,0
88,26,General,Dresses,Dresses,1092,Underwhelmed,11,3,0
89,31,General,Bottoms,Jeans,1022,Buyer beware- stretches out significantly!,2,2,0
90,51,General,Tops,Knits,868,"Love the color, design and flow",0,5,1
91,34,General,Dresses,Dresses,1083,Wonderful,2,5,1
92,65,General Petite,Tops,Knits,877,Cute shirt but runs large,0,2,1
93,55,General,Dresses,Dresses,1078,Love it!,1,5,1
94,28,General,Tops,Knits,877,Disappointing,0,1,0
95,37,General Petite,Bottoms,Pants,1059,,0,5,1
96,35,General Petite,Dresses,Dresses,1104,Simple & casual dress,7,4,1
97,53,General,Bottoms,Jeans,1033,,0,5,1
98,33,General,Bottoms,Skirts,1009,Soft and beautiful!,1,5,1
99,25,Initmates,Intimate,Intimates,209,Fun ;),0,5,1
100,56,General,Tops,Blouses,835,Gorgeous color,0,3,1
101,64,General,Bottoms,Shorts,357,"Really, really cute",7,5,1
102,52,General Petite,Dresses,Dresses,1081,,0,5,1
103,56,General,Tops,Blouses,831,Lovely tunic,0,4,1
104,39,General,Bottoms,Jeans,1022,,0,3,0
105,44,General,Tops,Blouses,840,Stylish and understated elegant,1,5,1
106,35,General Petite,Intimate,Lounge,374,Size up,4,5,1
107,39,General Petite,Dresses,Dresses,1110,Forgot to review,0,5,1
108,62,General,Tops,Blouses,829,You need this.,1,5,1
109,66,General Petite,Tops,Fine gauge,903,Lovely soft colors,0,5,1
110,57,General Petite,Dresses,Dresses,1081,Runs short,4,4,1
111,60,General,Tops,Knits,872,Cute top,1,4,1
112,31,General,Dresses,Dresses,1078,For the shorter girls,4,4,1
113,50,General,Tops,Fine gauge,896,Great poncho!,2,5,1
114,46,General Petite,Dresses,Dresses,1072,Adorable,0,5,1
115,47,General,Tops,Knits,880,Cute but big!,1,5,1
116,33,General Petite,Tops,Knits,862,Thin and see through,23,3,0
117,47,General Petite,Tops,Fine gauge,899,Cardigan love,6,5,1
118,35,General Petite,Tops,Blouses,829,Surprisingly sweet,7,5,1
119,39,General Petite,Dresses,Dresses,1077,Love - loose fit,17,5,1
120,32,General Petite,Bottoms,Jeans,1022,Great fit but do stretch out,6,4,1
121,51,General,Dresses,Dresses,1078,"Very pretty, but truly gigantic!",0,4,1
122,37,General,Bottoms,Jeans,1030,I ordered up 2 sizes,0,5,1
123,42,General Petite,Dresses,Dresses,1104,You will fall in love in person,0,5,1
124,39,General Petite,Tops,Blouses,828,,0,5,1
125,24,General,Tops,Blouses,825,White is completely see through!,7,4,1
126,46,General,Dresses,Dresses,1095,Classic dress,3,4,1
127,43,General,Tops,Knits,870,Looks cheap,0,1,0
128,55,General,Tops,Sweaters,927,Super cute,8,5,1
129,46,General,Tops,Knits,883,Awesome tee,1,5,1
130,59,General Petite,Tops,Knits,860,,9,2,0
131,54,General Petite,Tops,Knits,863,,0,5,1
132,56,General,Tops,Sweaters,936,Just what i have been looking for,1,5,1
133,39,General,Dresses,Dresses,1083,,2,5,1
134,38,General Petite,Tops,Knits,883,Pretty but not enough for the price,3,3,0
135,33,General Petite,Tops,Sweaters,936,Cute,0,5,1
136,32,General,Dresses,Dresses,1081,Awesome day dress,1,5,1
137,37,General,Bottoms,Jeans,1022,Unique style,1,4,1
138,36,General,Tops,Knits,862,,3,5,1
139,35,General,Tops,Knits,866,"Very cute, challenging fit",5,3,0
140,52,General,Tops,Knits,866,,0,4,1
141,42,General,Dresses,Dresses,1094,Not as shown,0,1,0
142,46,General Petite,Tops,Knits,873,Love this adorable breezy look.,7,5,1
143,32,General,Bottoms,Jeans,1022,Comfy jeans,0,5,1
144,31,General,Dresses,Dresses,1078,Cute and comfy,0,4,1
145,26,General Petite,Dresses,Dresses,1086,,0,4,1
146,34,General Petite,Tops,Blouses,830,Cute but....,0,4,1
147,47,General,Tops,Blouses,831,Beautiful blouse with lovely cotton-lace detail,4,4,1
148,54,General Petite,Tops,Knits,868,Cute,0,3,1
149,62,General Petite,Tops,Knits,872,Love this,8,5,1
150,45,Initmates,Intimate,Legwear,215,Such a comfy piece!,4,5,1
151,39,General,Dresses,Dresses,1094,Fall in love/spring into style,4,5,1
152,36,General,Bottoms,Skirts,999,Better in person,5,5,1
153,36,General,Tops,Knits,868,,0,3,1
154,35,General,Bottoms,Shorts,614,My first romper,0,5,1
155,27,General Petite,Dresses,Dresses,1094,Beautiful dress!,20,5,1
156,33,General Petite,Tops,Knits,863,"Flattering, beautiful autumn top",0,5,1
157,44,General Petite,Tops,Knits,884,,2,4,1
158,35,General,Bottoms,Shorts,528,Cute but baggy!,1,3,0
159,61,General,Tops,Knits,862,So much fabric,2,3,0
160,35,General,Dresses,Dresses,1194,,0,5,1
161,41,General,Bottoms,Pants,1068,Perfect not too wide - wide legs,1,5,1
162,39,General Petite,Tops,Blouses,833,Beautiful tank to wear for years,11,5,1
163,41,General Petite,Tops,Knits,868,Cute top,0,4,1
164,72,General Petite,Bottoms,Pants,1066,"Love! but more tall options, please!",11,5,1
165,61,General,Tops,Knits,878,,0,4,1
166,37,General,Tops,Knits,865,Runs big,0,2,0
167,48,General,Tops,Knits,862,Great color and style,0,5,1
168,36,General Petite,Bottoms,Pants,1050,I'm tall and it's perfect,1,5,1
169,36,General,Tops,Knits,872,"Well made, not correct fit for me",0,3,0
170,33,General,Tops,Fine gauge,907,Great little sweater!,0,5,1
171,29,General,Dresses,Dresses,1078,"Great quality, easy to wear dress!",1,5,1
172,42,General Petite,Tops,Blouses,836,"Gorgeous, but it runs a little big.",2,4,1
173,42,General,Bottoms,Jeans,1037,,0,5,1
174,34,General,Tops,Knits,873,Super slimming,6,5,1
175,36,General,Jackets,Outerwear,1112,Amazing soft jacket,2,5,1
176,48,General,Dresses,Dresses,1081,Probably best on hourglass bodies,1,4,1
177,33,General,Dresses,Dresses,1080,,7,5,1
178,50,General,Tops,Fine gauge,895,Wanted to love it - but . . .,0,2,0
179,61,General Petite,Jackets,Jackets,975,,0,5,1
180,35,General,Dresses,Dresses,1094,So flattering,0,5,1
181,43,General,Tops,Knits,862,Great shirt!,5,5,1
182,45,General,Bottoms,Pants,1068,Love these,0,5,1
183,36,General,Tops,Knits,854,Pretty and girly,2,5,1
184,37,General Petite,Tops,Knits,873,Pretty,0,4,1
185,39,General,Bottoms,Jeans,1035,Rise hits much lower on me,31,2,1
186,47,General Petite,Dresses,Dresses,1081,Stylish and comfortable,5,5,1
187,33,General,Tops,Blouses,825,Delicate yet boxy,1,5,1
188,55,General Petite,Intimate,Lounge,279,Nice print and flattering,2,5,1
189,35,General,Dresses,Dresses,1077,,28,1,0
190,42,General,Tops,Knits,878,,0,1,0
191,39,General Petite,Jackets,Jackets,985,Like but not love,1,4,1
192,44,General,Tops,Blouses,818,Darling top,1,5,1
193,62,General Petite,Dresses,Dresses,1094,Too small and too big!,0,1,0
194,43,General,Tops,Blouses,831,Really beautiful.....,0,5,1
195,39,General Petite,Bottoms,Pants,1068,Love!,4,5,1
196,29,General Petite,Dresses,Dresses,1110,Gorgeous,0,5,1
197,61,Initmates,Intimate,Sleep,414,,3,3,0
198,28,General,Bottoms,Pants,1070,Legs are very long but beautiful,0,4,1
199,66,General,Tops,Blouses,833,"Beautiful, but flawed",0,4,1
200,41,General Petite,Tops,Knits,872,Cute basic,0,4,1
201,47,General,Bottoms,Jeans,1025,,0,5,1
202,40,General,Dresses,Dresses,1077,Tiered dress,0,5,1
203,35,General,Dresses,Dresses,1078,,0,4,1
204,38,General,Tops,Blouses,831,Goes with everything!,0,5,1
205,37,General,Tops,Knits,857,,6,5,1
206,33,General Petite,Bottoms,Skirts,1008,Nice classic look,1,5,1
207,29,General Petite,Bottoms,Skirts,1016,Nice skirt,3,5,1
208,41,Initmates,Intimate,Lounge,656,Love them!,0,5,1
209,29,General,Bottoms,Pants,1054,,0,1,0
210,23,General Petite,Tops,Fine gauge,904,Love the style!,2,3,1
211,65,General,Dresses,Dresses,1097,A great transitional piece,1,5,1
212,31,Initmates,Intimate,Swim,390,"Good quality, cute print but not flattering",1,3,0
213,54,General Petite,Tops,Sweaters,941,Sublime,0,5,1
214,45,Initmates,Intimate,Intimates,748,,1,5,1
215,46,General,Jackets,Jackets,984,Cropped,2,3,1
216,41,General,Tops,Knits,872,Cute shirt but the sewing is slightly off,6,3,1
217,29,General,Tops,Knits,868,Short and wide,3,3,0
218,29,General,Tops,Knits,864,Oversized and color off,0,3,0
219,19,General,Bottoms,Pants,1062,Perfect jumpsuit!,3,5,1
220,40,General,Tops,Knits,862,,6,5,1
221,48,Initmates,Intimate,Lounge,278,,0,5,1
222,58,General,Tops,Blouses,830,Love but a little too much flow,0,3,1
223,65,General,Tops,Blouses,836,Beautiful quality and fit! summertime!,7,5,1
224,60,General,Dresses,Dresses,1095,For a nymph waist,5,3,1
225,59,General,Tops,Knits,861,Costs too much for low quality,4,3,0
226,34,General Petite,Dresses,Dresses,1094,Extremely soft and comfortable,1,4,1
227,42,General,Tops,Sweaters,949,Beautiful!,0,5,1
228,46,Initmates,Intimate,Swim,654,Vitamin a anastasia bottoms,2,4,1
229,35,General,Dresses,Dresses,1099,"Beautiful dress, i wish it came in petite",12,5,1
230,51,General,Tops,Knits,860,Wonderful spring top,0,4,1
231,36,General,Dresses,Dresses,1083,Seriously wonderful dress!,11,5,1
232,36,General Petite,Bottoms,Pants,1047,Fraying after 2 wears!,3,3,0
233,37,General Petite,Bottoms,Pants,1047,Ripped on first day,1,3,0
234,42,General,Bottoms,Shorts,383,Super short shorts...,1,2,0
235,26,General,Tops,Blouses,841,Summer plaid,1,5,1
236,32,General Petite,Bottoms,Skirts,996,"Beautiful design, poor quality",3,3,0
237,29,General,Tops,Fine gauge,899,Bright stripes/ rich material,2,4,1
238,53,General,Dresses,Dresses,1100,Perfect dress,1,5,1
239,48,General,Tops,Blouses,829,Undecided,6,4,1
240,27,General,Bottoms,Skirts,1020,,6,4,1
241,51,General Petite,Bottoms,Jeans,1035,Can yank them down!,1,3,1
242,43,General Petite,Dresses,Dresses,1078,Fun dress,0,5,1
243,34,General Petite,Bottoms,Skirts,992,Runs small,0,4,1
244,69,General Petite,Tops,Blouses,820,So sorry i had to return,5,1,0
245,66,General Petite,Bottoms,Skirts,996,Very flattering,4,5,1
246,28,General,Bottoms,Shorts,282,"Comfy, summery",0,5,1
247,46,General,Tops,Knits,862,Looks great on me,0,5,1
248,40,General,Tops,Knits,862,Perfect closet staple,0,5,1
249,39,Initmates,Intimate,Lounge,300,Perfect!,2,5,1
250,49,General Petite,Dresses,Dresses,1079,,0,3,0
251,59,General,Bottoms,Pants,1042,Versatile and then some,1,5,1
252,51,General,Dresses,Dresses,1110,A monet painting,4,5,1
253,59,Initmates,Intimate,Swim,221,,3,5,1
254,68,General Petite,Tops,Sweaters,936,,1,5,1
255,38,General,Bottoms,Jeans,1037,"Cool design, extremely tight fit",7,2,0
256,87,General Petite,Dresses,Dresses,1087,,0,4,1
257,46,General Petite,Dresses,Dresses,1110,Beautiful tent,0,3,0
258,23,General,Tops,Blouses,830,Great features but too boxy,0,4,0
259,38,General,Bottoms,Jeans,1025,,0,5,1
260,36,General Petite,Dresses,Dresses,1077,Insanely gorgeous,1,5,1
261,41,General,Bottoms,Jeans,1022,Great jeans!,0,5,1
262,35,General,Dresses,Dresses,1092,Beautiful dress but sleeves were too tight,0,2,1
263,44,General Petite,Dresses,Dresses,1094,,4,5,1
264,43,General,Tops,Knits,873,Adorable top with cute details,4,5,1
265,70,General Petite,Dresses,Dresses,1107,Misrepresented in picture,4,2,0
266,70,General Petite,Jackets,Jackets,984,A wonderful garment for chilly days,1,5,1
267,61,General,Jackets,Jackets,984,Top coat,0,5,1
268,25,General,Tops,Fine gauge,902,Beautiful fall sweater,3,4,1
269,56,General Petite,Bottoms,Skirts,1009,,1,5,1
270,51,General Petite,Bottoms,Jeans,1035,Not like the old pilcro,10,2,0
271,26,General,Dresses,Dresses,1086,So soft !,3,4,1
272,29,Initmates,Intimate,Swim,396,Cute bathing suit bottoms,0,5,1
273,57,General,Dresses,Dresses,1078,Cute and comfy!,3,5,1
274,41,General,Tops,Blouses,830,Lovely,3,5,1
275,32,General,Tops,Knits,867,,2,5,1
276,36,General,Tops,Knits,854,Terrible but had so much potential,7,2,0
277,31,General Petite,Bottoms,Pants,481,If only,0,3,1
278,35,Initmates,Intimate,Lounge,427,Loooooooove it,2,5,1
279,61,General,Tops,Blouses,850,Adorable top,0,4,1
280,41,General,Tops,Knits,871,Great shirt!,0,4,1
281,28,General Petite,Intimate,Lounge,636,See through,0,1,0
282,69,General,Dresses,Dresses,1110,Petite sizing is more of tunic,6,4,1
283,39,General Petite,Tops,Sweaters,933,,0,5,1
284,54,General Petite,Tops,Sweaters,927,Wanted to love it !,2,3,1
285,26,General Petite,Tops,Sweaters,933,No closure,1,3,1
286,57,General Petite,Dresses,Dresses,1095,Beautiful and perfect,1,5,1
287,52,General,Tops,Knits,867,,2,5,1
288,49,General,Dresses,Dresses,1077,Frustrating dress,0,3,0
289,27,General Petite,Dresses,Dresses,1094,"Stylish, professional, comfortable",0,5,1
290,39,General,Jackets,Jackets,974,Fun and classic,1,4,1
291,26,General Petite,Dresses,Dresses,1089,Save your money,14,2,0
292,39,General,Tops,Fine gauge,895,Cute enough,0,3,1
293,37,General Petite,Tops,Knits,860,Black or grey?,0,4,1
294,46,General Petite,Jackets,Jackets,975,Beautiful!,0,4,1
295,54,General Petite,Tops,Knits,873,Comfy and pretty,0,5,1
296,39,General Petite,Tops,Knits,872,It's always sunny,0,5,1
297,31,General,Tops,Knits,861,Cute shirt,0,5,1
298,53,General,Bottoms,Shorts,460,I love it!,2,5,1
299,25,Initmates,Intimate,Intimates,74,Exactly as pictured,1,4,1
300,42,General Petite,Bottoms,Jeans,18,Disappointing quality,0,1,0
301,44,General,Tops,Knits,865,,3,5,1
302,36,General,Tops,Fine gauge,895,,0,5,1
303,54,General,Tops,Sweaters,945,Salt and pepper,0,3,0
304,35,General,Dresses,Dresses,1094,Gorgeous dress,2,5,1
305,46,General,Tops,Sweaters,923,,1,4,1
306,44,General Petite,Bottoms,Skirts,1009,Perfect addition to any wardrobe.,2,5,1
307,47,General Petite,Tops,Blouses,836,Beautiful find,1,5,1
308,45,General Petite,Dresses,Dresses,1087,I love this dress,1,5,1
309,34,General,Tops,Blouses,828,Nice but too big,0,3,1
310,74,General,Bottoms,Skirts,1008,Great twist on a pencil skirt,0,5,1
311,38,General,Tops,Knits,862,Sleeve color doesn't match rest of blouse,0,3,0
312,37,General Petite,Tops,Blouses,833,Love!!!,11,5,1
313,47,General,Tops,Blouses,829,"Good for weekends, not for work",16,4,1
314,83,General Petite,Tops,Knits,859,Beautiful but runs large.,0,5,1
315,33,General,Tops,Fine gauge,909,"Wanted to love it, but just kinda like it",6,3,1
316,48,General,Bottoms,Skirts,993,Beautiful skirt!,0,5,1
317,38,General,Bottoms,Jeans,1024,Sooooo cute,1,5,1
318,47,General Petite,Dresses,Dresses,1110,,13,5,1
319,31,General,Tops,Sweaters,939,Not for the full of chest,1,4,1
320,69,General,Tops,Fine gauge,907,Beautiful,1,5,1
321,39,General Petite,Dresses,Dresses,1078,Great dress!,0,5,1
322,42,General,Dresses,Dresses,1103,Special,9,5,1
323,40,General,Dresses,Dresses,1080,My first maxi!,2,5,1
324,35,General,Dresses,Dresses,1104,Welcome back 1994,43,3,0
325,55,General,Dresses,Dresses,1095,,4,5,1
326,30,General,Tops,Knits,863,Best fall purchase i made!,0,5,1
327,47,General,Bottoms,Pants,1070,Almost right but not quite...,22,3,1
328,34,General,Bottoms,Jeans,1037,Not flattering for my body type,1,2,0
329,24,Initmates,Intimate,Swim,536,Great suit!,2,4,1
330,58,General Petite,Tops,Blouses,824,Too boxy,2,3,0
331,45,General,Bottoms,Skirts,1001,Beautiful skirt,0,5,1
332,38,General,Tops,Blouses,838,This is another ubiquitous swing top,3,3,1
333,30,General Petite,Bottoms,Jeans,1033,Pleasantly surprised,3,5,1
334,43,General,Bottoms,Pants,1066,Better than in the photo,0,5,1
335,47,General Petite,Tops,Sweaters,936,,2,2,0
336,29,General Petite,Bottoms,Pants,611,Flattering romper,3,4,1
337,26,General Petite,Jackets,Jackets,965,Perfect for california winters,3,5,1
338,61,General,Jackets,Jackets,966,Great with everything,0,5,1
339,34,General Petite,Dresses,Dresses,1080,Goddess dress,0,5,1
340,62,General,Dresses,Dresses,1082,So disappointed!,14,2,0
341,53,Initmates,Intimate,Sleep,196,,3,5,1
342,68,General Petite,Dresses,Dresses,1081,Great dress but runs too big,0,4,1
343,43,General Petite,Tops,Fine gauge,895,Great sweater for fall,17,5,1
344,53,General,Tops,Knits,865,"Odd fit, beautiful design but poor execution",7,1,0
345,51,General,Tops,Knits,872,Vibrant red color,1,5,1
346,42,General,Bottoms,Shorts,282,Wow,0,5,1
347,30,General,Dresses,Dresses,1096,Such a beautiful dress!,0,5,1
348,32,General Petite,Bottoms,Skirts,999,,4,4,1
349,24,Initmates,Intimate,Intimates,173,Great product,0,5,1
350,49,General,Tops,Sweaters,941,Good staple,1,4,1
351,40,General,Tops,Blouses,824,A great pick for summer,1,4,1
352,25,General Petite,Tops,Blouses,824,Runs a bit large,0,2,1
353,26,General,Tops,Fine gauge,907,Cute but ...,0,4,1
354,28,General Petite,Dresses,Dresses,1099,Gorgeous dress!,4,5,1
355,31,General,Tops,Knits,862,Fabulous and versatile,0,5,1
356,35,General Petite,Dresses,Dresses,1082,Pretty but not for me,4,3,0
357,49,General,Bottoms,Pants,1059,Very comfortable,1,5,1
358,43,General Petite,Jackets,Jackets,984,Returned with a bit of regret,2,3,1
359,26,General,Jackets,Jackets,966,Love and hate.,0,2,0
360,37,Initmates,Intimate,Lounge,622,Great versatile tank,0,5,1
361,26,General,Tops,Knits,872,Nice top,0,4,1
362,54,General,Tops,Knits,868,Love the cutout and the sleeve detail,0,5,1
363,42,General,Dresses,Dresses,1078,I can wear a jumpsuit?!?!,2,5,1
364,23,General,Tops,Blouses,831,Lovely,14,5,1
365,42,General,Tops,Knits,876,Beautiful detail,0,5,1
366,30,General Petite,Intimate,Lounge,128,Pills horribly,0,1,0
367,34,General,Trend,Trend,567,Lovely but the cut/sizing is not good,2,2,0
368,42,General,Tops,Knits,862,,0,5,1
369,33,General Petite,Dresses,Dresses,1077,Just perfect,0,5,1
370,49,General,Tops,Knits,863,So comfy!,0,5,1
